Bolag;Koncept;Kommentar;Butiks nr;Namn;Butik / Enhet;Företag;Enhet;Organisationsnummer;Franchise;Gatuadress;Postnr;Postadress;Email-adress Butiks-/SM-chef;Butikschef (BC);Telefon butik;BC Telefon;Mobil;Direktör Försäljning;Försäljningschef;Marknadsområde;Distriktschef (DC);Distrikt;K Ställe;Namn2;Gamla butiksnummer;Säljplan;Säk, kval & Arbetsmiljö samordnare;Kommun;HR Generalist;Bemanningsspecialist;Site-ID
Coop Östra;Coop ;;36910;Centralhuset;Coop Centralhuset;0005;01;556030-5921;;Stationsgatan 14;753 40;Uppsala;centralhuset.bc@coop.se;Christian Håkansson;010-741 84 70;010-741 84 71;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;036910;Centralhuset;;Coop Närhandel;Joakim Ytterström;Uppsala;Jenny Halldin;Anna Rydmark;1136
Coop Östra;Coop;;16197;Centralstation ;Coop Centralstation;0005;01;556030-5921;;Centralplan 1;111 20;Stockholm;bc.tcentralen@coop.se;Karin Jonsson;010-741 98 70;010-741 98 71;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016197;Centralstation ;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Anna Rydmark;1075
Coop Östra;Coop;;35000;Daglivs;Coop Daglivs;0005;01;556030-5921;;S:t Eriksgatan 34-38;112 34;Stockholm;daglivs.bc@coop.se;Markus Lindgren;010-741 97 00;010-741 97 01;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;035000;Daglivs;;Coop  ;Michael Sandelin;Stockholm;Mikaela Norrman;Jessica Carlsson;1125
Coop Östra;Coop;;16178;Djursholm;Coop Djursholm;5002;17;559246-5701;x;Vendevägen 13;182 61;Djursholm;Djursholm.bc@coop.se;Robert Mogelid;010-741 71 00;010-741 71 01;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016178;Djursholm;;Coop Närhandel;Mikaela Norrman;Danderyd;Jenny Halldin;Anna Rydmark;1072
Coop Östra;Coop;;56218;Domino;Coop Domino;0005;01;556030-5921;;Repslagaregatan 14;602 32 ;Norrköping;domino.bc@coop.se;Tf Efstratia Asiki;010-746 43 20;010-746 43 21;072-468 51 40;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;056218;Domino;216591;Coop Närhandel;Marie Elg;Norrköping;;Josefine Wiberg Malmström;4278
Coop Östra;Coop;;56211;Drottninggatan Linköping;Coop Drottninggatan Linköping;0005;01;556030-5921;;Drottninggatan 23;582 25;Linköping;drottninggatanlinkoping.bc@coop.se;Ahmad Habbouchi;010-746 42 50;;076-798 23 57;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;056211;Drottninggatan Linköping;216584;Coop Närhandel;Marie Elg;Linköping;;Josefine Wiberg Malmström;4107
Coop Östra;Coop ;;36906;Ekeby Uppsala;Coop Ekeby Uppsala;0005;01;556030-5921;;Köpenhamnsg 2-4;752 64;Uppsala;Ekeby.bc@coop.se;Jakob Eriksson;010-741 25 70;010-741 25 71;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;036906;Ekeby Uppsala;;Coop Närhandel;;Uppsala;Jenny Halldin;Anna Rydmark;1135
Coop Östra;Coop;;30571;Engströms Livs;Coop Engströms Livs;5002;19;559262-8316;x;Nockeby Torg;167 74 ;Bromma;engstroms.bc@coop.se;Mattias Berglund;010-741 89 80;010-741 89 81;073-058 15 67;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;030571;Engströms Livs;;Coop Närhandel;Michael Sandelin;Stockholm;Mikaela Norrman;Anna Rydmark;1122
Coop Östra;Coop;;16058;Erik Dahlbergsgatan;Coop Erik Dahlbergsgatan;5003;87;559277-5513;x;Erik Dahlbergsgatan 27;115 32;Stockholm;ErikDahlbergsgatan.bc@coop.se;Peter Varo;010-741 80 90;010-741 80 91;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016058;Erik Dahlbergsgatan;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Anna Rydmark;1049
Coop Östra;Coop;;186130;Eskilstunavägen Torshälla;Coop Eskilstunavägen Torshälla;0005;01;556030-5921;;Eskilstunavägen 32;644 30 ;Torshälla;eskilstunavagentorshalla.bc@coop.se;Felix Nyzell;010-746 44 80;010-746 44 81;072-465 99 82;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;186130;Eskilstunavägen Torshälla;216607;Coop;Anna Fredberg;Eskilstuna;;Jessica Carlsson;4257
Coop Östra;Coop;;16198;Essingen  ;Coop Essingen;5002;19;559262-8316;x;Badstrandsvägen 28;112 65;Stockholm;Essingen.bc@coop.se;Martin Jarstål;010-741 84 90;010-741 84 91; ;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016198;Essingen  ;;Coop Närhandel;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;1076
Coop Östra;Coop ;;16208;Farmarstigen ;Coop Farmarstigen;5002;30;559542-4937;x;Kyndelgränd 1;135 36;Tyresö;Farmarstigen.bc@coop.se;TF Joakim Blixt;010- 741 76 02;010-741 75 51;;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;016208;Farmarstigen ;;Coop Närhandel;Joakim Ytterström;Tyresö;Mikaela Norrman;Jessica Carlsson;1078
Coop Östra;Coop;;15420;Farsta ;Coop Farsta ;5002;10;559246-3391;x;Farsta Plan 21-27;123 47;Farsta;FarstaC.bc@coop.se;Tomas Tvärnstedt;010-741 80 40;010-741 80 41;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;015420;Farsta C;;Coop  ;Marie Elg;Stockholm;My Jonsson;Jessica Carlsson;1016
Coop Östra;Coop;;16028;Farsta Strand ;Coop Farsta Strand;0005;01;556030-5921;;Farsta Strandplan 15;123 71;Farsta;FarstaStrand.bc@coop.se;Helena Eriksson;010-741 78 30;010-741 78 31;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;016028;Farsta Strand ;;Coop Närhandel;Joakim Ytterström;Stockholm;My Jonsson;Jessica Carlsson;1036
Coop Östra;Coop;;16034;Finn Malmgren;Coop Finn Malmgren;0005;01;556030-5921;;Finn Malmgrens v. 11;121 38;Johanneshov;FinnMalmgren.bc@coop.se;Sinisa Simic;010-741 79 00;010-741 79 01;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016034;Finn Malmgren;;Coop Närhandel  ;Joakim Ytterström;Stockholm;My Jonsson;Elin Kronqvist;1041
Coop Östra;Coop ;;16100;Folkparken;Coop Folkparken;5002;58;559546-4628;x;Erik Dahlbergs väg 21;152 40;Södertälje;Folkparken.bc@coop.se;Jonathan Zwenger;010-741 90 30;010-741 90 31;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;016100;Folkparken;;Coop  ;Joakim Ytterström;Södertälje;My Jonsson;Jessica Carlsson;1057
Coop Östra;Coop ;;16015;Fruängen;Coop Fruängen;5002;31;559178-4839;x;Fruängsgången 3;129 52;Hägersten;Fruangen.bc@coop.se;Nathalie Kyrk ;010-741 76 90;010-741 76 91;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;016015;Fruängen;;Coop  ;Marie Elg;Stockholm;My Jonsson;Jessica Carlsson;1026
Coop Östra;Coop;;16060;Karlavägen Garnisonen;Coop Karlavägen Garnisonen;5003;64;559221-5437;x;Karlavägen 102;115 26;Stockholm;Karlavagen.bc@coop.se;Jan Poznic;010-741 82 50;010-741 82 51;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016060;Garnisonen;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Anna Rydmark;1050
Coop Östra;Coop ;;15270;Gnesta;Coop Gnesta;5002;15;559254-3358;x;V:a Storgatan 1;646 31;Gnesta;Gnesta.bc@coop.se;Elin Chalkias;010-741 43 80;076-118 07 34;;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;015270;Gnesta;;Coop  ;Joakim Ytterström;Gnesta;;Josefine Wiberg Malmström;1009
Coop Östra;Coop;;16272;Grindsgatan;Coop Grindsgatan;0005;01;556030-5921;;Grindsgatan 50;118 57;Stockholm;Grindsgatan.bc@coop.se;Björn Stiberg;010-741 79 50;010-741 79 51;765 555 850;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016272;Grindsgatan;;Coop Närhandel;Joakim Ytterström;Stockholm;My Jonsson;Elin Kronqvist;1085
Coop Östra;Coop;;36965;Grindvägen;Coop Grindvägen;5003;08;559169-9235;x;Timotejgatan 2;761 62;Norrtälje;Grindvagen.bc@coop.se;Mikael Ringstedt;010-741 24 50;010-741 24 51;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;036965;Grindvägen;;Coop Närhandel;Mikaela Norrman;Norrtälje;Jenny Halldin;Anna Rydmark;1141
Coop Östra;Coop;;15050;Gröndal;Coop Gröndal;5003;35;556569–9955;x;Gröndalsvägen 36;117 66;Stockholm;Grondal.bc@coop.se;Niklas Lekander;010-741 79 70;010-741 79 71;;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;015050;Gröndal;;Coop Närhandel;Marie Elg;Stockholm;Mikaela Norrman;Anna Rydmark;1003
Coop Östra;Coop;;16077;Gubbängen;Coop Gubbängen;5003;53;559025-3745;x;Lingvägen 104;122 45;Enskede;gubbangen.bc@coop.se;David Rudbo;010-741 90 80;010-741 90 81; ;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;016077;Gubbängen;;Coop  ;Joakim Ytterström;Stockholm;My Jonsson;Jessica Carlsson;1052
Coop Östra;Coop;;16505;Gustavsberg;Coop Gustavsberg;5002;97;556712-8706;x;Gustavsbergs Centrum;134 30;Gustavsberg;Gustavsberg.bc@coop.se;Mattias Astborn;010-741 44 40;010-741 44 43;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016505;Gustavsberg;;Coop  ;Joakim Ytterström;Värmdö;My Jonsson;Elin Kronqvist;1089
Coop Östra;Coop;;16041;Hagastaden;Coop Hagastaden;0005;01;556030-5921;;Hälsingegatan 57-59;113 66;Stockholm;hagastaden.bc@coop.se;Maria Ytter;010-741 99 50;010-741 99 51;;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016041;Hagastaden;;Coop Närhandel;Michael Sandelin;Stockholm;Jenny Halldin;Anna Rydmark;1692
Coop Östra;Coop ;;35470;Hallstavik;Coop Hallstavik;5003;08;559169-9235;x;Gottstavägen6;763 41;Hallstavik;hallstavik.bc@coop.se;Mikael Ringstedt;010-741  24 10;010-741 24 11;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;035470;Hallstavik;;Coop  ;Mikaela Norrman;Norrtälje;Jenny Halldin;Anna Rydmark;1130
Coop Östra;Coop;;16030;Hammarby Sjöstad;Coop Hammarby Sjöstad;0005;01;556030-5921;;Lugnets allé 21;120 65;Stockholm;Hammarby.bc@coop.se;Therese Sandberg;010-741 80 20;010-741 80 21;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016030;Hammarby Sjöstad;;Coop Närhandel;Michael Sandelin;Stockholm;My Jonsson;Elin Kronqvist;1038
Coop Östra;Coop;;16039;Haningeterrassen;Coop Haningeterrassen;0005;01;556030-5921;;Nynäsvägen 84;136 35;Haninge;haningeterrassen.bc@coop.se;Jonathan Tapia;010-745 03 80;010-745 03 81;073 - 077 58 79;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;016039;Haningeterrassen;;Coop Närhandel;Joakim Ytterström;Haninge;Mikaela Norrman;Jessica Carlsson;1045
Coop Östra;Coop;;56075;Hantverkaregatan;Coop Hantverkaregatan;5002;75;556622-0306;x;Hantverkaregatan 74;602 29;Norrköping;Hantverkaregatan.bc@coop.se;Jonny Eriksson;010-741 48 80;010-741 48 82;072-709 83 02;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;056075;Hantverkaregatan;;Coop Närhandel;Marie Elg;Norrköping;;Josefine Wiberg Malmström;1157
Coop Östra;Coop;;26707;Hemmesta ;Coop Hemmesta;5003;46;556988-7358;x;Hemmesta centrum, Box 64;139 22;Värmdö;Hemmesta.bc@coop.se;Tobias Elgström;010-741 75 80;010-741 75 81;070-289 77 26;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;026707;Hemmesta ;;Coop  ;Joakim Ytterström;Värmdö;My Jonsson;Elin Kronqvist;1099
Coop Östra;Coop ;;185360;Hälleforsnäs;Coop Hälleforsnäs;5002;59;556562-7352;x;Celsings Allé 13;648 31;Hälleforsnäs;Halleforsnas.bc@coop.se;Ove Gustafsson;010-741 45 70;010-741 45 71;072-709 84 63;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;185360;Hälleforsnäs;;Coop Närhandel;Anna Fredberg;Flen;;Jessica Carlsson;1461
Coop Östra;Coop;;15120;Högdalen;Coop Högdalen;0005;01;556030-5921;;Högdalsgången 19;124 54;Bandhagen;Hogdalen.bc@coop.se;Pernilla Weinfors;010-741 78 60;010-741 78 61;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;015120;Högdalen;;Coop  ;Joakim Ytterström;Stockholm;My Jonsson;Jessica Carlsson;1005
Coop Östra;Coop;;186195;Högsjö;Coop Högsjö;5002;04;559368-1678;x;Hästhagsvägen 2;640 10;Högsjö;Hogsjo.bc@coop.se;Tf Sandra Melin;010-741 45 80;010-741 45 81;072-709 84 60;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;186195;Högsjö;;Coop Närhandel;Anna Fredberg;Vingåker;;Jessica Carlsson;1463
Coop Östra;Coop;;16764;Hölö;Coop Hölö;0005;01;556030-5921;;Centralvägen 11;153 71;Hölö;Holo.bc@coop.se;Kristina Bernhardsson;010-741 82 80;010-741 82 81;;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;016764;Hölö;;Coop Närhandel  ;Joakim Ytterström;Södertälje;;Josefine Wiberg Malmström;1090
Coop Östra;Coop ;;16027;Hötorget ;Coop Hötorget;0005;01;556030-5921;;T-station Hötorget X-et;111 57;Stockholm;hotorget.bc@coop.se;TF Melvin Nilsson;010-745 02 10;010-745 02 11;072-526 75 30;Kerim Nielsen;Misak Yazdi;Nord 1;Helena Wahlsten;VH Nord 1;016027;Hötorget ;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Anna Rydmark;1035
Coop Östra;Coop;;15330;Järna;Coop Järna;5003;98;556853-8937;x;Löwens väg 2;153 36;Järna;Jarna.bc@coop.se;Jonas Johansson;010-741 73 40;010-741 73 41;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;015330;Järna;;Coop  ;Anna Fredberg;Södertälje;My Jonsson;Jessica Carlsson;1013
Coop Östra;Coop;;16176;Järntorget;Coop Järntorget;5003;13;556678-8021;x;Järntorget 80;111 29;Stockholm;Jarntorget.bc@coop.se;Björn Lekander;010-741 85 70;010-741 85 71;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016176;Järntorget;;Coop Närhandel;Mikaela Norrman;Stockholm;My Jonsson;Elin Kronqvist;1070
Coop Östra;Coop;;26827;Kallhäll;Coop Kallhäll;5003;57;559207-8751;x;Gjutarplan 20;176 71;Järfälla;KallhallC.bc@coop.se;Mats Hallin;010-741 69 80;010-741 69 81;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;026827;Kallhäll;;Coop Närhandel  ;Michael Sandelin;Järfälla;Jenny Halldin;Elin Kronqvist;1113
Coop Östra;Coop ;;55020;Kisa;Coop Kisa;0005;01;556030-5921;;Västra Vägen 1;590 40;Kisa  ;Kisa.bc@coop.se;Jennie Nelson;010-741 57 30 ;010-741 57 31;;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;055020;Kisa;;Coop  ;Marie Elg;Kinda;;Josefine Wiberg Malmström;1145
Coop Östra;Coop ;;16009;Kristineberg;Coop Kristineberg;5002;28;559545-1518;x;Hjalmar Söderbergs v.12;112 52;Stockholm;Kristineberg.bc@coop.se;Mattias Berglund;010-741 82 90;010-741 82 91;;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016009;Kristineberg;;Coop Närhandel;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;1023
Coop Östra;Coop;;56100;Krokek;Coop Krokek;0005;01;556030-5921;;Sjöviksvägen 78;618 30;Kolmården;Krokek.bc@coop.se;Jonny Thaleman;010-741 47 00;010-741 47 01;072-709 84 11;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;056100;Krokek;;Coop  ;Anna Fredberg;Norrköping;;Josefine Wiberg Malmström;1161
Coop Östra;Coop;;26822;Kungsängen;Coop Kungsängen;0005;01;556030-5921;;Furuhällsplan 4-8;196 30;Kungsängen;KungsangenC.bc@coop.se;Tf Ali Ghasemi;010-741 67 90;010-741 67 91;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;026822;Kungsängen;;Coop Närhandel  ;Mikaela Norrman;Upplands Bro;Jenny Halldin;Elin Kronqvist;1110
Coop Östra;Coop;;181810;Kvarnen Katrineholm;Coop Kvarnen katrineholm;0005;01;556030-5921;;Köpmangatan 19;641 30;Katrineholm;Katrineholm.bc@coop.se;Veronica Rosenqvist;010-741 45 40;010-741 45 41;072-709 84 78;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;181810;Kvarnen Katrineholm;;Coop  ;Anna Fredberg;Katrineholm;;Jessica Carlsson;1450
Coop Östra;Coop;;16038;Kvarnholmen;Coop Kvarnholmen;0005;01;556030-5921;;Kvarnholmsvägen 92;131 31;Nacka;Kvarnholmen.bc@coop.se;Marie Westerström;010-741 29 80;072-206 88 57;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016038;Kvarnholmen;;Coop Närhandel;Joakim Ytterström;Nacka;My Jonsson;Elin Kronqvist;1044
Coop Östra;Coop ;;186234;Kyrkogatan;Coop Kyrkogatan;5002;69;556613-7484;x;Kyrkogatan 20-22;641 46;Katrineholm;Kyrkogatan.bc@coop.se;Kent Pihl;010-741 45 30;010-741 45 31;072-709 84 73;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;186234;Kyrkogatan;;Coop Närhandel;Anna Fredberg;Katrineholm;;Jessica Carlsson;1464
Coop Östra;Coop;;15070;Kärrtorp;Coop Kärrtorp;5003;52;556747-5396;x;Lågskärsvägen 15;121 55;Johanneshov;Karrtorp.bc@coop.se;Slavko Ilic;010-741 78 80;010-741 78 81;;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;015070;Kärrtorp;;Coop Närhandel;Joakim Ytterström;Stockholm;Mikaela Norrman;Jessica Carlsson;1004
Coop Östra;Coop;;56016;Lambohov;Coop Lambohov;5003;45;559189-3002;x;Tröskaregatan 33;583 33;Linköping;Lambohov.bc@coop.se;Tf Madeleine Engvall;010-741 50 60;010-741 50 61;072-709 82 00;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;056016;Lambohov;;Coop  ;Marie Elg;Linköping;;Josefine Wiberg Malmström;1152
Coop Östra;Coop;;36002;Liljegatan;Coop Liljegatan;0005;01;556030-5921;;Liljegatan 1;753 24;Uppsala;liljegatan.bc@coop.se;Aron Sörsäter;010-741 25 40;010-741 25 41;073-055 39 04;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;036002;Liljegatan;;Coop Närhandel;Michael Sandelin;Uppsala;Jenny Halldin;Anna Rydmark;1693
Coop Östra;Coop;;16090;Liljeholmen;Coop Liljeholmen;0005;01;556030-5921;;Liljeholmstorget 82;117 61;Stockholm;Liljeholmen.bc@coop.se;Karl von Unge;010-741 23 90;010-741 23 95;;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016090;Liljeholmen;;Coop Närhandel  ;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;1055
